,Title,Brands,Ratings,Number of Rating,Price,Return Policy,Delivery,Availability,Others,Product URL
30,Sapiens: A Brief History of Humankind,Yuval Noah Harari (Author),4.6 out of 5,"28,253 ratings",₹ 299.00,10 Days Replacement Only,"Delivery by: Saturday, Feb 27 Details",In stock.,-,https://www.amazon.in/Sapiens-Humankind-Yuval-Noah-Harari/dp/0099590085/ref=sr_1_21?dchild=1&keywords=book&qid=1614219001&sr=8-21
31,The Rudest Book Ever,Shwetabh Gangwar (Author),4.4 out of 5,"2,917 ratings",₹ 211.00,10 Days Replacement Only,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 16 hrs and 4 mins Details",In stock.,-,https://www.amazon.in/Rudest-Book-Ever-Shwetabh-Gangwar/dp/9388754433/ref=sr_1_22?dchild=1&keywords=book&qid=1614219001&sr=8-22
32,My First Little Librarian: Boxset of 12 Best Board Books for Kids,THE BOOK TREE (Author),4.6 out of 5,29 ratings,₹ 399.00,Pay on Delivery,"Delivery by: Sunday, Feb 28 Details
Fastest delivery: Tomorrow
Order within 1 hr and 49 mins Details",In stock.,-,https://www.amazon.in/My-First-Little-Librarian-Boxset/dp/B08MLC2GD6/ref=sr_1_23?dchild=1&keywords=book&qid=1614219001&sr=8-23
33,Refreshing Mandala - Colouring Book for Adults Book 1,Dreamland Publications (Author),4.6 out of 5,"2,094 ratings",₹ 175.00,10 Days Replacement Only,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 16 hrs and 4 mins Details",In stock.,-,https://www.amazon.in/Refreshing-Mandala-Colouring-Book-Adults/dp/9350897601/ref=sr_1_24?dchild=1&keywords=book&qid=1614219001&sr=8-24
34,"William Shakespeare (Set of 7 Books) - Othello, Romeo and Juliet, Hamlet, Macbeth, the Merchant of Venice, A Midsummer Night's Dream, Julius Caesar",William Shakespeare (Author),4.8 out of 5,25 ratings,₹ 473.00,Pay on Delivery,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 15 hrs and 34 mins Details",In stock.,-,https://www.amazon.in/William-Shakespeare-Set-Books-Midsummer/dp/9389643597/ref=sr_1_25?dchild=1&keywords=book&qid=1614219001&sr=8-25
35,Amazon Brand - Solimo Board Books for Kids (Set of 10),Solimo (Author),4.5 out of 5,"2,303 ratings",-,Pay on Delivery,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 16 hrs and 4 mins Details",,-,https://www.amazon.in/Amazon-Brand-Solimo-Board-Books/dp/B07BF3T95C/ref=sr_1_26_mod_primary_lightning_deal?dchild=1&keywords=book&qid=1614219001&sbo=Tc8eqSFhUl4VwMzbE4fw%2Fw%3D%3D&smid=AT95IG9ONZD7S&sr=8-26
36,Little Black Book for Stunning Success,Robin Sharma (Author),4.4 out of 5,219 ratings,₹ 218.00,10 Days Replacement Only,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 16 hrs and 4 mins Details",In stock.,-,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A06116182UI04R5MQBZ4N&url=%2FLittle-Stunning-Success-Action-Mastery%2Fdp%2F8184959893%2Fref%3Dsr_1_27_sspa%3Fdchild%3D1%26keywords%3Dbook%26qid%3D1614219001%26sr%3D8-27-spons%26psc%3D1&qualifier=1614219889&id=2148769732196408&widgetName=sp_mtf
37,Think & Grow Rich: THE 21st CENTURY EDITION,Napoleon Hill (Author),4.3 out of 5,107 ratings,₹ 140.00,10 Days Replacement Only,"Delivery By: March 3 - 6 Details
Fastest delivery: Feb 27 - March 3 Details",In stock.,-,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0849513RRFV8DJR4P98&url=%2FThink-Grow-Rich-21st-CENTURY%2Fdp%2F9389931525%2Fref%3Dsr_1_28_sspa%3Fdchild%3D1%26keywords%3Dbook%26qid%3D1614219001%26sr%3D8-28-spons%26psc%3D1&qualifier=1614219889&id=2148769732196408&widgetName=sp_mtf
38,Harry Potter and the Philosopher's Stone,J.K. Rowling (Author),4.7 out of 5,"22,913 ratings",₹ 249.00,10 Days Replacement Only,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 16 hrs and 4 mins Details",In stock.,-,https://www.amazon.in/Harry-Potter-Philosophers-Stone-Rowling/dp/1408855658/ref=sr_1_29?dchild=1&keywords=book&qid=1614219001&sr=8-29
39,"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids",Maple Press (Author),4.1 out of 5,42 ratings,₹ 191.00,10 Days Replacement Only,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 11 hrs and 4 mins Details",In stock.,-,https://www.amazon.in/First-Mythology-Tale-Illustrated-Books/dp/9390292964/ref=sr_1_30?dchild=1&keywords=book&qid=1614219001&sr=8-30
